NOM_INTER|SIGNALI|LONGITUDE|LATITUDE
Saint-Julien, Rue de    /   Haut-Médoc, Rue du    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.319286|46.874060
René-Lévesque Ouest, Boulevard    /   Maires-Gauthier, Avenue des    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.247469|46.792503
Vaillancourt, Rue    /   Chénas, Rue du    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.321243|46.868004
Saint-Julien, Rue de    /   Beaujolais, Rue du    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.320404|46.871251
Romarin, Rue du    /   Sarriette, Rue de la    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.339582|46.881215
Ormière, Boulevard de l'    /   Yves-Thériault, Rue    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.365261|46.842709
Rodrigue-Masson, Avenue    /   Réal-Angers, Rue    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.258853|46.772591
Saint-Louis, Chemin    /   Gaspard-Fauteux, Avenue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.255362|46.774075
Saint-Louis, Chemin    /   De Lantagnac, Avenue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.256794|46.773086
Saint-Louis, Chemin    /   Gouverneurs, Avenue des    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.257633|46.772667
Saint-Louis, Chemin    /   Dobell, Avenue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.265578|46.769343
Auclair, Boulevard    /   De Nerval, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.372222|46.770674
Terrasse-Stuart, Rue de la    /   Du Buisson, Avenue    --   Québec|Aucun contrôle|-71.256757|46.779884
Terrasse-Stuart, Rue de la    /   Oak, Avenue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.254076|46.781361
Treggett, Rue    /   Thomas, Avenue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.246106|46.775862
Thomas, Avenue    /   Maire-McInenly, Rue du    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.246810|46.776456
Bergerville, Rue de    /   Preston, Avenue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.249458|46.780213
Bernatchez, Avenue    /   Latulippe, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.267128|46.819589
William, Avenue    /   Sheppard, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.249994|46.783643
Johnny-Parent, Boulevard ( Côté Sud )   /   Aimé-Lantier, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.351018|46.847855
Écrivains, Rue des    /   Irénée-Frenette, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.362968|46.843290
Chapdelaine, Avenue    /   Émile-Côté, Avenue    --   Québec|Aucun contrôle|-71.269371|46.793784
Brabant, Avenue du    /   Anne-Després, Rue    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.326414|46.774225
Louis-IX, Rue    /   Mirabilis, Rue des    --   Québec|Arrêts obligatoires sur toutes les approches|-71.363230|46.845850
Thomas-Chapais, Rue    /   Cimon, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.357182|46.840120
Gérard-Delage, Rue    /   André-Grenier, Avenue    --   Québec|Arrêts obligatoires sur toutes les approches|-71.193424|46.864735
Lionel-Groulx, Rue    /   Clément-Lockquell, Rue    --   Saint-Augustin-de-Desmaures|Arrêts obligatoires sur toutes les approches|-71.389136|46.740072
Saint-Félix, Terrasse    /   Clément-Lockquell, Rue    --   Saint-Augustin-de-Desmaures||-71.402350|46.735701
Soret, Rue    /   Marjolaine, Rue de la    --   Québec|Arrêts obligatoires sur toutes les approches|-71.328751|46.869452
Saint-Émilion, Rue du    /   Embellie, Rue de l'    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.326120|46.868389
